노선,건수(1통행)_일반,건수(1통행)_청소년,건수(1통행)_어린이,건수(2통행)_일반,건수(2통행)_청소년,건수(2통행)_어린이,건수(3통행)_일반,건수(3통행)_청소년,건수(3통행)_어린이,교통카드건수합계
10,2080493,306390,49687,552536,42617,3662,107615,5765,392,3149157
100,1110618,79088,13380,218334,9700,925,39272,1030,133,1472480
1000(급행),411987,16316,3420,107847,4430,439,13587,429,57,558512
1000(심야),62582,1827,31,8249,176,0,1286,23,0,74174
100-1,1407263,128441,21508,341884,16358,1416,61143,2136,213,1980362
1001(급행),2310568,126565,15944,578226,30946,2066,52931,3063,260,3120569
1001(심야),62570,3040,101,8233,350,2,1065,23,1,75385
1002(급행),1107321,69087,6490,344459,19108,1134,44956,1627,77,1594259
1002(심야),38117,1886,19,4219,173,2,667,19,0,45102
1003(급행),2056304,99861,19875,350478,14946,1304,32992,1185,120,2577065
1003(심야),93938,2429,87,10185,162,3,1848,34,0,108686
1004(급행),873043,35380,4286,281337,11955,818,20985,690,98,1228592
1004(심야),57904,1097,34,7292,139,5,1288,12,0,67771
1005(급행),175248,5684,789,56011,1625,166,11143,259,55,250980
1006(급행),274637,22057,2523,76263,4853,337,7219,508,30,388427
1008(급행),882157,144542,12603,229879,19602,1136,35497,2827,119,1328362
1009(급행),240851,17615,3010,48535,2182,117,7779,380,24,320493
101,2150271,170007,40354,553618,25435,3263,102454,3094,289,3048785
1010(급행),808991,87235,11897,207173,14917,735,27155,1290,89,1159482
1011(급행),655547,51040,6322,259861,16996,1200,17192,1030,62,1009250
103,2209622,242044,47957,559343,29777,3677,105811,2612,352,3201195
105,602600,33463,6010,213638,10952,852,33734,1024,77,902350
107,1362178,213410,53907,380015,38768,2019,57461,2439,175,2110372
108,1807725,170642,40481,512966,25909,2387,74515,2238,285,2637148
11,1896122,209435,42396,450749,26051,3100,73846,1977,250,2703926
110,1440998,73709,23444,342759,13583,1117,50767,1037,131,1947545
110-1,3197090,276818,42024,1103068,61554,4368,141324,4887,337,4831470
111,2144804,182939,37646,446771,21065,2594,73727,2135,259,2911940
111-1,1243239,121478,19418,381845,23074,1866,58838,2847,242,1852847
113,3685918,332580,77181,938641,45784,5244,155454,4241,404,5245447
115,359816,40374,7272,111176,6402,582,23720,621,49,550012
115-1,3407589,435931,81390,704512,36282,3140,101438,3843,416,4774541
121,574339,45153,9311,113693,5006,622,19140,625,87,767976
123,1505303,84994,13106,419064,16443,1084,53582,1264,106,2094946
124,687773,40748,7861,182919,6483,658,30360,702,79,957583
125,113244,8535,780,51366,1974,164,8774,175,58,185070
126,4136923,406271,69411,1311685,64218,5181,162987,5617,432,6162725
127,849673,58957,7536,216776,7856,500,38703,1104,90,1181195
128-1,2106394,211067,29587,572834,26457,1660,130478,5103,196,3083776
129-1,2266335,159982,20676,663109,31074,2170,87238,2390,189,3233163
131,1641989,182297,42516,354768,17529,1908,59348,1766,166,2302287
133,2692459,186751,46207,730388,33699,3569,124078,2971,314,3820436
134,1627187,101072,26475,475460,22924,3249,91461,2097,308,2350233
138,2362266,219072,41233,630647,31171,3095,101554,2728,297,3392063
138-1,1472278,118730,22575,352099,16433,2259,55348,1702,132,2041556
139,513409,41342,10795,85721,4170,682,29318,1221,160,686818
141,2581547,176970,29642,661169,26764,2656,97680,2478,313,3579219
141(심야),50839,2219,136,10675,425,2,1619,35,0,65950
144,1141341,81783,13010,314987,14283,1254,44742,1341,111,1612852
148,2714915,137757,27363,755035,22023,2224,100334,1580,189,3761420
148-1,1031805,77969,18550,231131,8971,921,40650,1250,137,1411384
15,4487024,383202,75013,1189127,48447,4905,157658,4689,485,6350550
155,4156045,422544,67374,1171011,72581,5557,208087,8586,470,6112255
16,3600931,555893,132487,955125,75922,6823,147916,6137,474,5481708
160,2097861,190439,23070,608851,41110,2409,93775,3660,201,3061376
161,2289376,308979,51328,754736,49225,4489,107511,4713,371,3570728
167,1982839,152956,26054,625975,24582,2568,98003,1926,281,2915184
168,1740944,172676,28147,478217,24474,1922,73825,2905,176,2523286
169,3619717,446766,90423,1036029,65145,6255,166825,8309,595,5440064
169-1,2765732,455930,78566,696132,49793,3651,117079,4346,338,4171567
17,3224363,239650,60005,813549,44483,4995,131228,4562,413,4523248
179,3437063,326100,53017,887045,49947,4083,140480,4698,346,4902779
180,79171,3413,811,13520,632,213,5612,356,30,103758
180(아침),4661,223,30,585,8,3,206,5,0,5721
181,1214499,161522,30972,206356,12346,1542,62833,3107,338,1693515
182,480967,79683,11602,100117,5257,515,23760,1228,100,703229
182(심야),5378,688,10,1342,56,1,308,13,0,7796
183,899875,77212,12740,271483,15763,1290,45252,1907,174,1325696
183(심야),16379,725,8,3997,277,1,708,37,0,22132
184,90067,10174,2512,22314,720,74,6585,103,12,132561
185,141534,8330,2875,40738,2268,469,12952,891,201,210258
