지역,시군구,센터단위,센터구분,지원센터,신고구분,운영단체명,운영법인분류(대),대표자명,센터전화번호,주소,등록일자
충북,충청북도 청주시 흥덕구,광역,푸드뱅크,광역기부식품등지원센터,당연신고,충청북도사회복지협의회,법인 운영,김*석,043-234-1377,"청주시 흥덕구 공단로 87, 302호",2000-05-18
충북,충청북도 청주시 흥덕구,기초,푸드뱅크,청주시흥덕푸드뱅크,임의신고,청주시사회복지협의회,법인 운영,이*형,043-267-1377,"청주시 흥덕구 무심서로 665(운천동), 2층",2002-08-19
충북,충청북도 청주시 상당구,기초,푸드뱅크,청주구세군푸드뱅크,당연신고,구세군청주복지센터,법인 운영,이*혁,043-254-1377,"청주시 상당구 쇠내로 145번길 15, A동 202호",2010-01-01
충북,충청북도 청주시 흥덕구,기초,푸드뱅크,청주사랑나눔푸드뱅크,당연신고,개인,개인 운영,조*옥,043-266-1377,청주시 흥덕구 강서로 71번길 20-3,2008-03-03
충북,충청북도 청주시 청원구,기초,푸드뱅크,청주드림푸드뱅크,당연신고,기독교대한감리회(드림교회),법인 운영,문*길,043-218-7991,청주시 청원구 상리로17번길 27-40(율량동),2012-05-14
충북,충청북도 청주시 상당구,기초,푸드뱅크,청주제일푸드뱅크,임의신고,한국기독교장로회(청주제일교회),법인 운영,이*희,043-256-3816,청주시 상당구 상당로 13번길 15(남문로1가),2013-03-15
충북,충청북도 청주시 청원구,기초,푸드뱅크,청원푸드뱅크,당연신고,개인,개인 운영,김*경,043-218-1377,청주시 청원구 내수읍 내수로 737,2005-07-05
충북,충청북도 청주시 상당구,기초,푸드뱅크,대청푸드뱅크,당연신고,개인,개인 운영,이*순,043-221-7838,청주시 상당구 문의면 두모1길 13-8,2014-05-28
충북,충청북도 청주시 상당구,기초,푸드마켓,청주시푸드마켓,임의신고,청주시사회복지협의회,법인 운영,이*형,043-222-9171,청주시 상당구 남사로 83번길 35(서문동),2009-06-15
충북,충청북도 충주시,기초,푸드뱅크,충주시푸드뱅크,당연신고,사회복지법인 열림재단(충주종합사회복지관),법인 운영,이*훈,043-855-3000,충주시 주공길 7 (연수동),2002-07-01
충북,충청북도 충주시,기초,푸드마켓,충주시푸드마켓,임의신고,사회복지법인 열림재단(충주종합사회복지관),법인 운영,이*훈,043-855-1377,"충주시 사직산21길 34, 종합복지관 B1층",2010-01-22
충북,충청북도 제천시,기초,푸드뱅크,제천시푸드뱅크,당연신고,제천시사회복지협의회,법인 운영,양*경,043-645-5004,제천시 내토로 390(영천동),1998-09-17
충북,충청북도 제천시,기초,푸드마켓,제천시푸드마켓,임의신고,제천시사회복지협의회,법인 운영,양*경,043-647-1377,제천시 동명로 50(서부동),2009-06-10
충북,충청북도 보은군,기초,푸드뱅크,보은군푸드뱅크,당연신고,보은군사회복지협의회,법인 운영,구*회,043-544-1377,보은군 보은읍 보청대로 1907,2002-01-01
충북,충청북도 옥천군,기초,푸드마켓,옥천군푸드뱅크,임의신고,사회복지법인 전석복지재단(옥천군노인장애인복지관),법인 운영,오*훈 ,043-730-2653,"옥천군 옥천읍 삼금로 4길6, 1층",2004-01-03
충북,충청북도 옥천군,기초,푸드뱅크,옥천나눔푸드뱅크,임의신고,개인,개인 운영,이*선,043-731-6231,옥천군 옥천읍 응천1길 63-3,2019-08-08
충북,충청북도 영동군,기초,푸드뱅크,영동나눔푸드뱅크,당연신고,영동군사회복지협의회,법인 운영,서*선,043-744-4949,영동군 영동읍 눈어치1로 71,2005-01-27
충북,충청북도 증평군,기초,푸드뱅크,증평군푸드뱅크,임의신고,사회복지법인 열림재단(삼보사회복지관),법인 운영,정*선,043-836-6040,증평군 증평읍 창신로 85 ,2002-01-01
충북,충청북도 진천군,기초,푸드뱅크,진천군푸드뱅크,당연신고,진천군사회복지협의회,법인 운영,손*영,043-533-1377,진천군 진천읍 상산로 42,2004-03-23
충북,충청북도 진천군,기초,푸드뱅크,진천나눔과기쁨,임의신고,개인,개인 운영,안*선,043-536-0129,"진천군 진천읍 진광로 72-1, 1층",2006-03-07
