순위,제목,가수
1,퀸카 (Queencard),(여자)아이들
2,I AM,IVE (아이브)
3,Spicy,aespa
4,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
5,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
6,Kitsch,IVE (아이브)
7,사랑은 늘 도망가,임영웅
8,헤어지자 말해요,박재정
9,Hype boy,NewJeans
10,모래 알갱이,임영웅
11,우리들의 블루스,임영웅
12,손오공,세븐틴 (SEVENTEEN)
13,꽃,지수 (JISOO)
14,다시 만날 수 있을까,임영웅
15,Ditto,NewJeans
16,무지개,임영웅
17,London Boy,임영웅
18,이제 나만 믿어요,임영웅
19,Cupid,FIFTY FIFTY
20,Polaroid,임영웅
21,아버지,임영웅
22,OMG,NewJeans
23,인생찬가,임영웅
24,A bientot,임영웅
25,사건의 지평선,윤하 (YOUNHA)
26,I Don't Think That I Like Her,Charlie Puth
27,Allergy,(여자)아이들
28,손이 참 곱던 그대,임영웅
29,사랑해 진짜,임영웅
30,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
31,Dangerously,Charlie Puth
32,Candy,NCT DREAM
33,연애편지,임영웅
34,After LIKE,IVE (아이브)
35,Attention,NewJeans
36,Dynamite,방탄소년단
37,Teddy Bear,STAYC(스테이씨)
38,LOVE DIVE,IVE (아이브)
39,보금자리,임영웅
40,물론,허각
41,심(心),DK(디셈버)
42,사랑하지 않아서 그랬어,임한별
43,Butter,방탄소년단
44,ANTIFRAGILE,LE SSERAFIM (르세라핌)
45,사랑..그게 뭔데,지아
46,Take Two,방탄소년단
47,사람 Pt.2 (feat. 아이유),Agust D
48,잠깐 시간 될까,이무진
49,봄날,방탄소년단
50,Like Crazy,지민
51,Broken Melodies,NCT DREAM
52,사랑인가 봐,멜로망스
53,나에게 그대만이,탑현
54,너의 모든 순간,성시경
55,Heaven(2023),임재현
56,Permission to Dance,방탄소년단
57,NIGHT DANCER,imase
58,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
59,빛이 나는 너에게,던 (DAWN)
60,HARD,SHINee (샤이니)
61,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),정국
62,That's Hilarious,Charlie Puth
63,Thirsty,aespa
64,The Planet,방탄소년단
65,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
66,STAY,The Kid LAROI
67,첫 키스에 내 심장은 120BPM,경서
68,찬란한 하루,멜로망스
69,KNOCK,이채연
70,TOMBOY,(여자)아이들
71,"Angel Pt. 1 (Feat. Kodak Black, NLE Choppa, JVKE, Muni Long)",Fast & Furious: The Fast Saga
72,Nxde,(여자)아이들
73,사랑의 바보,제이세라
74,해요 (2022),#안녕
75,취중고백,김민석 (멜로망스)
76,부동의 첫사랑,10CM
77,on the street (with J. Cole),j-hope
78,안녕이라고 말하지마,V.O.S
79,나의 바람 (Wind And Wish),비투비
80,That’s Not How This Works (feat. Dan + Shay),Charlie Puth
81,한사람만 (2023) (여름날 우리 X 이홍기 (FT아일랜드)),이홍기 (FT아일랜드)
82,Monologue,테이
83,CHRISTIAN,Zior Park
84,ELEVEN,IVE (아이브)
85,다정히 내 이름을 부르면,경서예지
86,사랑하기 싫어,지아
87,그라데이션,10CM
88,Love Me Like This,NMIXX
89,FRIEND THE END,볼빨간사춘기
90,그중에 그대를 만나,김호중
91,FEARLESS,LE SSERAFIM (르세라핌)
92,Shut Down,BLACKPINK
93,사랑하지 않아서 그랬니,지아
94,한강에서 (Feat. BIG Naughty),폴킴
95,내가 아니라도,주호
96,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
97,LOCKDOWN,이세계아이돌
98,Pink Venom,BLACKPINK
99,Say I Love You,우디 (Woody)
100,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
